Autauga County|Alabama|55395
Baldwin County|Alabama|200111
Barbour County|Alabama|26887
Bibb County|Alabama|22506
Blount County|Alabama|57719
Bullock County|Alabama|10764
Butler County|Alabama|20296
Calhoun County|Alabama|115916
Chambers County|Alabama|34076
Cherokee County|Alabama|26037
Chilton County|Alabama|43931
Choctaw County|Alabama|13323
Clarke County|Alabama|24945
Clay County|Alabama|13552
Cleburne County|Alabama|15080
Coffee County|Alabama|50909
Colbert County|Alabama|54543
Conecuh County|Alabama|12670
Coosa County|Alabama|10886
Covington County|Alabama|37914
Crenshaw County|Alabama|13977
Cullman County|Alabama|81289
Dale County|Alabama|49484
Dallas County|Alabama|41711
DeKalb County|Alabama|71065
Elmore County|Alabama|80977
Escambia County|Alabama|37733
Etowah County|Alabama|103531
Fayette County|Alabama|16874
Franklin County|Alabama|31601
Geneva County|Alabama|26712
Greene County|Alabama|8553
Hale County|Alabama|15184
Henry County|Alabama|17190
Houston County|Alabama|104193
Jackson County|Alabama|52665
Jefferson County|Alabama|660793
Lamar County|Alabama|14086
Lauderdale County|Alabama|93096
Lawrence County|Alabama|33477
Lee County|Alabama|154255
Limestone County|Alabama|90787
Lowndes County|Alabama|10580
Macon County|Alabama|19425
Madison County|Alabama|350299
Marengo County|Alabama|20110
Marion County|Alabama|30271
Marshall County|Alabama|94636
Mobile County|Alabama|415123
Monroe County|Alabama|21947
Montgomery County|Alabama|226189
Morgan County|Alabama|119607
Perry County|Alabama|9826
Pickens County|Alabama|20365
Pike County|Alabama|33389
Randolph County|Alabama|22539
Russell County|Alabama|59608
St. Clair County|Alabama|86697
Shelby County|Alabama|206655
Sumter County|Alabama|13166
Talladega County|Alabama|81322
Tallapoosa County|Alabama|41165
Tuscaloosa County|Alabama|202212
Walker County|Alabama|65471
Washington County|Alabama|16834
Wilcox County|Alabama|11098
Winston County|Alabama|24150
Aleutians East Borough|Alaska|3360
Aleutians West Census Area|Alaska|5750
Anchorage Municipality|Alaska|301010
Bethel Census Area|Alaska|17868
Bristol Bay Borough|Alaska|957
Denali Borough|Alaska|1921
Dillingham Census Area|Alaska|4988
Fairbanks North Star Borough|Alaska|99357
Haines Borough|Alaska|2566
Hoonah-Angoon Census Area|Alaska|2082
Juneau Cityand Borough|Alaska|32406
Kenai Peninsula Borough|Alaska|57477
Ketchikan Gateway Borough|Alaska|13787
Kodiak Island Borough|Alaska|13986
Lake and Peninsula Borough|Alaska|1631
Matanuska-Susitna Borough|Alaska|97882
Nome Census Area|Alaska|9817
North Slope Borough|Alaska|9703
Northwest Arctic Borough|Alaska|7717
Petersburg Borough|Alaska|3160
Prince of Wales-Hyder Census Area|Alaska|6396
Sitka Cityand Borough|Alaska|8900
Skagway Municipality|Alaska|1036
Southeast Fairbanks Census Area|Alaska|6931
Valdez-Cordova Census Area|Alaska|9488
Wade Hampton Census Area|Alaska|8010
Wrangell Cityand Borough|Alaska|2364
Yakutat Cityand Borough|Alaska|635
Yukon-Koyukuk Census Area|Alaska|5547
Apache County|Arizona|71828
Cochise County|Arizona|127448
Coconino County|Arizona|137682
Gila County|Arizona|53119
Graham County|Arizona|37957
Greenlee County|Arizona|9346
La Paz County|Arizona|20231
Maricopa County|Arizona|4087191
Mohave County|Arizona|203361
Navajo County|Arizona|108101
Pima County|Arizona|1004516
Pinal County|Arizona|401918
Santa Cruz County|Arizona|46695
Yavapai County|Arizona|218844
Yuma County|Arizona|203247
Arkansas County|Arkansas|18594
Ashley County|Arkansas|20948
Baxter County|Arkansas|40857
Benton County|Arkansas|242321
Boone County|Arkansas|37196
Bradley County|Arkansas|11148
Calhoun County|Arkansas|5202
Carroll County|Arkansas|27744
Chicot County|Arkansas|11180
Clark County|Arkansas|22576
Clay County|Arkansas|15118
Cleburne County|Arkansas|25634
Cleveland County|Arkansas|8449
Columbia County|Arkansas|23933
Conway County|Arkansas|21083
Craighead County|Arkansas|102518
Crawford County|Arkansas|61697
Crittenden County|Arkansas|49548
Cross County|Arkansas|17227
Dallas County|Arkansas|7755
Desha County|Arkansas|12264
Drew County|Arkansas|18622
Faulkner County|Arkansas|120768
Franklin County|Arkansas|17805
Fulton County|Arkansas|12125
Garland County|Arkansas|97322
Grant County|Arkansas|18144
Greene County|Arkansas|43694
Hempstead County|Arkansas|22327
Hot Spring County|Arkansas|33368
Howard County|Arkansas|13500
Independence County|Arkansas|36959
Izard County|Arkansas|13486
Jackson County|Arkansas|17534
Jefferson County|Arkansas|72297
Johnson County|Arkansas|26005
Lafayette County|Arkansas|7111
Lawrence County|Arkansas|16931
Lee County|Arkansas|9860
Lincoln County|Arkansas|13970
Little River County|Arkansas|12532
Logan County|Arkansas|21958
Lonoke County|Arkansas|71557
Madison County|Arkansas|15740
Marion County|Arkansas|16367
Miller County|Arkansas|43428
Mississippi County|Arkansas|44235
Monroe County|Arkansas|7582
Montgomery County|Arkansas|9082
Nevada County|Arkansas|8723
Newton County|Arkansas|7904
Ouachita County|Arkansas|24828
Perry County|Arkansas|10245
Phillips County|Arkansas|19930
Pike County|Arkansas|11024
Poinsett County|Arkansas|24246
Polk County|Arkansas|20225
Pope County|Arkansas|63201
Prairie County|Arkansas|8304
Pulaski County|Arkansas|392702
Randolph County|Arkansas|17571
St. Francis County|Arkansas|26899
Saline County|Arkansas|115719
Scott County|Arkansas|10693
Searcy County|Arkansas|7929
Sebastian County|Arkansas|126776
Sevier County|Arkansas|17426
Sharp County|Arkansas|16906
Stone County|Arkansas|12494
Union County|Arkansas|40227
Van Buren County|Arkansas|16851
Washington County|Arkansas|220792
White County|Arkansas|78592
Woodruff County|Arkansas|6910
