"Autauga County, Alabama","55,395"
"Baldwin County, Alabama","200,111"
"Barbour County, Alabama","26,887"
"Bibb County, Alabama","22,506"
"Blount County, Alabama","57,719"
"Bullock County, Alabama","10,764"
"Butler County, Alabama","20,296"
"Calhoun County, Alabama","115,916"
"Chambers County, Alabama","34,076"
"Cherokee County, Alabama","26,037"
"Chilton County, Alabama","43,931"
"Choctaw County, Alabama","13,323"
"Clarke County, Alabama","24,945"
"Clay County, Alabama","13,552"
"Cleburne County, Alabama","15,080"
"Coffee County, Alabama","50,909"
"Colbert County, Alabama","54,543"
"Conecuh County, Alabama","12,670"
"Coosa County, Alabama","10,886"
"Covington County, Alabama","37,914"
"Crenshaw County, Alabama","13,977"
"Cullman County, Alabama","81,289"
"Dale County, Alabama","49,484"
"Dallas County, Alabama","41,711"
"DeKalb County, Alabama","71,065"
"Elmore County, Alabama","80,977"
"Escambia County, Alabama","37,733"
"Etowah County, Alabama","103,531"
"Fayette County, Alabama","16,874"
"Franklin County, Alabama","31,601"
"Geneva County, Alabama","26,712"
"Greene County, Alabama","8,553"
"Hale County, Alabama","15,184"
"Henry County, Alabama","17,190"
"Houston County, Alabama","104,193"
"Jackson County, Alabama","52,665"
"Jefferson County, Alabama","660,793"
"Lamar County, Alabama","14,086"
"Lauderdale County, Alabama","93,096"
"Lawrence County, Alabama","33,477"
"Lee County, Alabama","154,255"
"Limestone County, Alabama","90,787"
"Lowndes County, Alabama","10,580"
"Macon County, Alabama","19,425"
"Madison County, Alabama","350,299"
"Marengo County, Alabama","20,110"
"Marion County, Alabama","30,271"
"Marshall County, Alabama","94,636"
"Mobile County, Alabama","415,123"
"Monroe County, Alabama","21,947"
"Montgomery County, Alabama","226,189"
"Morgan County, Alabama","119,607"
"Perry County, Alabama","9,826"
"Pickens County, Alabama","20,365"
"Pike County, Alabama","33,389"
"Randolph County, Alabama","22,539"
"Russell County, Alabama","59,608"
"St. Clair County, Alabama","86,697"
"Shelby County, Alabama","206,655"
"Sumter County, Alabama","13,166"
"Talladega County, Alabama","81,322"
"Tallapoosa County, Alabama","41,165"
"Tuscaloosa County, Alabama","202,212"
"Walker County, Alabama","65,471"
"Washington County, Alabama","16,834"
"Wilcox County, Alabama","11,098"
"Winston County, Alabama","24,150"
"Aleutians East Borough, Alaska","3,360"
"Aleutians West Census Area, Alaska","5,750"
"Anchorage Municipality, Alaska","301,010"
"Bethel Census Area, Alaska","17,868"
"Bristol Bay Borough, Alaska",957
"Denali Borough, Alaska","1,921"
"Dillingham Census Area, Alaska","4,988"
"Fairbanks North Star Borough, Alaska","99,357"
"Haines Borough, Alaska","2,566"
"Hoonah-Angoon Census Area, Alaska","2,082"
"Juneau City and Borough, Alaska","32,406"
"Kenai Peninsula Borough, Alaska","57,477"
"Ketchikan Gateway Borough, Alaska","13,787"
"Kodiak Island Borough, Alaska","13,986"
"Lake and Peninsula Borough, Alaska","1,631"
"Matanuska-Susitna Borough, Alaska","97,882"
"Nome Census Area, Alaska","9,817"
"North Slope Borough, Alaska","9,703"
"Northwest Arctic Borough, Alaska","7,717"
"Petersburg Borough, Alaska","3,160"
"Prince of Wales-Hyder Census Area, Alaska","6,396"
"Sitka City and Borough, Alaska","8,900"
"Skagway Municipality, Alaska","1,036"
"Southeast Fairbanks Census Area, Alaska","6,931"
"Valdez-Cordova Census Area, Alaska","9,488"
"Wade Hampton Census Area, Alaska","8,010"
"Wrangell City and Borough, Alaska","2,364"
"Yakutat City and Borough, Alaska",635
"Yukon-Koyukuk Census Area, Alaska","5,547"
"Apache County, Arizona","71,828"
"Cochise County, Arizona","127,448"
"Coconino County, Arizona","137,682"
"Gila County, Arizona","53,119"
"Graham County, Arizona","37,957"
"Greenlee County, Arizona","9,346"
"La Paz County, Arizona","20,231"
"Maricopa County, Arizona","4,087,191"
"Mohave County, Arizona","203,361"
"Navajo County, Arizona","108,101"
"Pima County, Arizona","1,004,516"
"Pinal County, Arizona","401,918"
"Santa Cruz County, Arizona","46,695"
"Yavapai County, Arizona","218,844"
"Yuma County, Arizona","203,247"
"Arkansas County, Arkansas","18,594"
"Ashley County, Arkansas","20,948"
"Baxter County, Arkansas","40,857"
"Benton County, Arkansas","242,321"
"Boone County, Arkansas","37,196"
"Bradley County, Arkansas","11,148"
"Calhoun County, Arkansas","5,202"
"Carroll County, Arkansas","27,744"
"Chicot County, Arkansas","11,180"
"Clark County, Arkansas","22,576"
"Clay County, Arkansas","15,118"
"Cleburne County, Arkansas","25,634"
"Cleveland County, Arkansas","8,449"
"Columbia County, Arkansas","23,933"
"Conway County, Arkansas","21,083"
"Craighead County, Arkansas","102,518"
"Crawford County, Arkansas","61,697"
"Crittenden County, Arkansas","49,548"
"Cross County, Arkansas","17,227"
"Dallas County, Arkansas","7,755"
"Desha County, Arkansas","12,264"
"Drew County, Arkansas","18,622"
"Faulkner County, Arkansas","120,768"
"Franklin County, Arkansas","17,805"
"Fulton County, Arkansas","12,125"
"Garland County, Arkansas","97,322"
"Grant County, Arkansas","18,144"
"Greene County, Arkansas","43,694"
"Hempstead County, Arkansas","22,327"
"Hot Spring County, Arkansas","33,368"
"Howard County, Arkansas","13,500"
"Independence County, Arkansas","36,959"
"Izard County, Arkansas","13,486"
"Jackson County, Arkansas","17,534"
"Jefferson County, Arkansas","72,297"
"Johnson County, Arkansas","26,005"
"Lafayette County, Arkansas","7,111"
"Lawrence County, Arkansas","16,931"
"Lee County, Arkansas","9,860"
"Lincoln County, Arkansas","13,970"
"Little River County, Arkansas","12,532"
"Logan County, Arkansas","21,958"
"Lonoke County, Arkansas","71,557"
